iter	Passed	Remaining
0	112	112236
1	125	62627
2	141	47095
3	154	38346
4	162	32382
5	173	28725
6	182	25949
7	213	26520
8	232	25597
9	265	26259
10	300	27045
11	310	25580
12	370	28097
13	397	27968
14	416	27381
15	425	26198
16	467	27013
17	488	26633
18	538	27794
19	569	27925
20	659	30737
21	679	30203
22	691	29386
23	705	28672
24	713	27810
25	726	27227
26	734	26482
27	743	25795
28	751	25163
29	759	24555
30	768	24017
31	774	23438
32	782	22942
33	794	22562
34	801	22096
35	811	21731
36	819	21339
37	827	20946
38	832	20511
39	839	20155
40	848	19838
41	855	19506
42	862	19189
43	869	18901
44	876	18606
45	884	18342
46	892	18086
47	899	17844
48	906	17596
49	914	17377
50	922	17160
51	930	16955
52	936	16733
53	943	16531
54	950	16336
55	959	16166
56	965	15980
57	975	15847
58	982	15674
59	990	15518
60	997	15362
61	1008	15250
62	1015	15100
63	1022	14951
64	1030	14817
65	1040	14721
66	1048	14603
67	1057	14490
68	1063	14354
69	1071	14237
70	1078	14115
71	1088	14031
72	1095	13905
73	1101	13789
74	1108	13677
75	1116	13573
76	1124	13482
77	1133	13393
78	1160	13530
79	1176	13525
80	1187	13474
81	1196	13393
82	1205	13319
83	1217	13274
84	1238	13329
85	1256	13358
86	1265	13278
87	1275	13218
88	1287	13174
89	1295	13100
90	1309	13084
91	1323	13058
92	1334	13017
93	1343	12952
94	1353	12890
95	1366	12864
96	1376	12813
97	1387	12771
98	1396	12705
99	1408	12676
100	1417	12616
101	1427	12563
102	1439	12535
103	1448	12475
104	1458	12434
105	1469	12393
106	1477	12327
107	1484	12260
108	1493	12206
109	1501	12150
110	1511	12104
111	1520	12052
112	1529	12002
113	1538	11957
114	1549	11926
115	1562	11910
116	1572	11869
117	1584	11841
118	1599	11838
119	1607	11790
120	1618	11755
121	1626	11704
122	1634	11653
123	1643	11608
124	1659	11616
125	1668	11576
126	1677	11530
127	1685	11479
128	1695	11445
129	1705	11411
130	1713	11369
131	1723	11334
132	1728	11267
133	1736	11225
134	1745	11185
135	1755	11155
136	1764	11116
137	1773	11077
138	1782	11042
139	1792	11011
140	1803	10989
141	1814	10963
142	1827	10954
143	1838	10931
144	1848	10896
145	1857	10866
146	1866	10829
147	1875	10797
148	1885	10768
149	1892	10723
150	1901	10692
151	1909	10650
152	1917	10613
153	1924	10569
154	1932	10533
155	1939	10492
156	1950	10472
157	1957	10429
158	1964	10391
159	1971	10350
160	1981	10327
161	1988	10284
162	1997	10255
163	2005	10223
164	2014	10195
165	2023	10165
166	2030	10129
167	2038	10097
168	2046	10065
169	2060	10062
170	2069	10034
171	2077	10002
172	2086	9975
173	2096	9950
174	2112	9957
175	2132	9983
176	2144	9970
177	2159	9973
178	2168	9947
179	2179	9929
180	2188	9904
181	2198	9881
182	2208	9861
183	2219	9841
184	2229	9820
185	2241	9809
186	2249	9781
187	2259	9757
188	2266	9726
189	2274	9695
190	2288	9691
191	2297	9670
192	2307	9647
193	2315	9619
194	2321	9582
195	2329	9554
196	2339	9537
197	2348	9514
198	2357	9490
199	2368	9475
200	2378	9454
201	2389	9438
202	2402	9430
203	2413	9417
204	2430	9424
205	2440	9406
206	2451	9392
207	2460	9368
208	2469	9346
209	2480	9331
210	2495	9329
211	2507	9318
212	2514	9289
213	2532	9300
214	2541	9279
215	2549	9254
216	2560	9238
217	2572	9227
218	2580	9203
219	2589	9181
220	2604	9179
221	2613	9158
222	2622	9137
223	2632	9120
224	2638	9089
225	2647	9067
226	2656	9044
227	2667	9030
228	2673	9001
229	2680	8972
230	2687	8947
231	2695	8922
232	2701	8893
233	2708	8865
234	2716	8842
235	2722	8814
236	2730	8789
237	2737	8763
238	2746	8746
239	2753	8719
240	2764	8707
241	2771	8680
242	2778	8654
243	2785	8629
244	2793	8607
245	2801	8585
246	2819	8593
247	2828	8575
248	2838	8562
249	2846	8539
250	2854	8519
251	2863	8500
252	2871	8477
253	2880	8460
254	2891	8446
255	2902	8435
256	2914	8425
257	2922	8406
258	2931	8387
259	2957	8416
260	2973	8418
261	2982	8402
262	2993	8388
263	3005	8377
264	3018	8370
265	3026	8351
266	3048	8370
267	3083	8422
268	3112	8459
269	3122	8442
270	3135	8433
271	3147	8423
272	3156	8406
273	3168	8394
274	3177	8376
275	3189	8367
276	3199	8350
277	3212	8342
278	3244	8383
279	3291	8462
280	3299	8442
281	3312	8433
282	3333	8445
283	3346	8435
284	3357	8424
285	3365	8401
286	3375	8386
287	3387	8374
288	3406	8380
289	3414	8358
290	3428	8352
291	3436	8332
292	3446	8315
293	3453	8294
294	3461	8272
295	3469	8250
296	3481	8241
297	3489	8220
