iter	Passed	Remaining
0	3	336
1	6	320
2	9	308
3	12	305
4	16	305
5	19	302
6	22	296
7	25	293
8	28	290
9	32	288
10	37	299
11	44	325
12	49	332
13	53	326
14	57	323
15	61	321
16	64	316
17	67	309
18	70	302
19	73	295
20	77	289
21	79	283
22	83	278
23	86	273
24	89	268
25	92	262
26	95	257
27	98	254
28	102	250
29	105	247
30	108	241
31	111	235
32	113	230
33	116	226
34	119	221
35	122	217
36	125	213
37	127	208
38	130	203
39	134	201
40	136	197
41	139	192
42	141	188
43	144	184
44	147	180
45	151	177
46	153	173
47	156	169
48	159	165
49	162	162
50	165	158
51	167	154
52	170	151
53	173	147
54	175	143
55	181	142
56	184	138
57	186	135
58	188	131
59	192	128
60	195	124
61	198	121
62	201	118
63	205	115
64	208	112
65	213	109
66	217	106
67	221	104
68	225	101
69	229	98
70	232	95
71	235	91
72	237	87
73	242	85
74	245	81
75	247	78
76	250	74
77	253	71
78	258	68
79	262	65
80	270	63
81	275	60
82	277	56
83	280	53
84	282	49
85	287	46
86	290	43
87	292	39
88	295	36
89	298	33
90	303	30
91	306	26
92	309	23
93	312	19
94	314	16
95	319	13
96	322	9
97	326	6
98	329	3
99	332	0
